Frame         Time          Elec          VdW           Nonbond       Total         
504           504           +0            -358.595      -358.595      -358.595      
505           505           +0            -336.297      -336.297      -336.297      
506           506           +0            -347.581      -347.581      -347.581      
507           507           +0            -329.05       -329.05       -329.05       
508           508           +0            -332.258      -332.258      -332.258      
509           509           +0            -324.522      -324.522      -324.522      
510           510           +0            -359.02       -359.02       -359.02       
511           511           +0            -315.981      -315.981      -315.981      
512           512           +0            -324.68       -324.68       -324.68       
513           513           +0            -343.521      -343.521      -343.521      
514           514           +0            -312.382      -312.382      -312.382      
515           515           +0            -330.78       -330.78       -330.78       
516           516           +0            -333.361      -333.361      -333.361      
517           517           +0            -340.641      -340.641      -340.641      
518           518           +0            -338.813      -338.813      -338.813      
519           519           +0            -330.522      -330.522      -330.522      
520           520           +0            -353.2        -353.2        -353.2        
521           521           +0            -340.977      -340.977      -340.977      
522           522           +0            -341.135      -341.135      -341.135      
523           523           +0            -342.171      -342.171      -342.171      
524           524           +0            -343.367      -343.367      -343.367      
525           525           +0            -331.651      -331.651      -331.651      
526           526           +0            -352.598      -352.598      -352.598      
527           527           +0            -340.216      -340.216      -340.216      
528           528           +0            -322.165      -322.165      -322.165      
529           529           +0            -356.07       -356.07       -356.07       
530           530           +0            -347.573      -347.573      -347.573      
531           531           +0            -356.171      -356.171      -356.171      
532           532           +0            -357.042      -357.042      -357.042      
533           533           +0            -335.862      -335.862      -335.862      
534           534           +0            -325.847      -325.847      -325.847      
535           535           +0            -340.688      -340.688      -340.688      
536           536           +0            -344.436      -344.436      -344.436      
537           537           +0            -329.676      -329.676      -329.676      
538           538           +0            -329.503      -329.503      -329.503      
539           539           +0            -315.095      -315.095      -315.095      
540           540           +0            -341.85       -341.85       -341.85       
541           541           +0            -337.217      -337.217      -337.217      
542           542           +0            -339.728      -339.728      -339.728      
543           543           +0            -343.753      -343.753      -343.753      
544           544           +0            -329.973      -329.973      -329.973      
545           545           +0            -334.883      -334.883      -334.883      
546           546           +0            -361.459      -361.459      -361.459      
547           547           +0            -325.789      -325.789      -325.789      
548           548           +0            -359.695      -359.695      -359.695      
549           549           +0            -332.935      -332.935      -332.935      
550           550           +0            -346.913      -346.913      -346.913      
551           551           +0            -357.175      -357.175      -357.175      
552           552           +0            -335.353      -335.353      -335.353      
553           553           +0            -351.903      -351.903      -351.903      
554           554           +0            -341.385      -341.385      -341.385      
555           555           +0            -325.427      -325.427      -325.427      
556           556           +0            -348.865      -348.865      -348.865      
557           557           +0            -371.986      -371.986      -371.986      
558           558           +0            -355.002      -355.002      -355.002      
559           559           +0            -354.931      -354.931      -354.931      
560           560           +0            -347.658      -347.658      -347.658      
561           561           +0            -357.01       -357.01       -357.01       
562           562           +0            -331.511      -331.511      -331.511      
563           563           +0            -352.197      -352.197      -352.197      
564           564           +0            -345.849      -345.849      -345.849      
565           565           +0            -353.136      -353.136      -353.136      
566           566           +0            -365.412      -365.412      -365.412      
567           567           +0            -356.5        -356.5        -356.5        
568           568           +0            -352.904      -352.904      -352.904      
569           569           +0            -334.2        -334.2        -334.2        
570           570           +0            -342.647      -342.647      -342.647      
571           571           +0            -327.669      -327.669      -327.669      
572           572           +0            -353.364      -353.364      -353.364      
573           573           +0            -352.458      -352.458      -352.458      
574           574           +0            -346.389      -346.389      -346.389      
575           575           +0            -330.017      -330.017      -330.017      
576           576           +0            -350.587      -350.587      -350.587      
577           577           +0            -325.277      -325.277      -325.277      
578           578           +0            -361.343      -361.343      -361.343      
579           579           +0            -325.366      -325.366      -325.366      
580           580           +0            -319.228      -319.228      -319.228      
581           581           +0            -353.477      -353.477      -353.477      
582           582           +0            -337.296      -337.296      -337.296      
583           583           +0            -336.999      -336.999      -336.999      
584           584           +0            -333.043      -333.043      -333.043      
585           585           +0            -317.081      -317.081      -317.081      
586           586           +0            -333.448      -333.448      -333.448      
587           587           +0            -330.025      -330.025      -330.025      
588           588           +0            -346.046      -346.046      -346.046      
589           589           +0            -342.941      -342.941      -342.941      
590           590           +0            -345.565      -345.565      -345.565      
591           591           +0            -330.125      -330.125      -330.125      
592           592           +0            -348.702      -348.702      -348.702      
593           593           +0            -349.618      -349.618      -349.618      
594           594           +0            -353.076      -353.076      -353.076      
595           595           +0            -368.965      -368.965      -368.965      
596           596           +0            -345.592      -345.592      -345.592      
597           597           +0            -318.215      -318.215      -318.215      
598           598           +0            -330.418      -330.418      -330.418      
599           599           +0            -345.39       -345.39       -345.39       
600           600           +0            -346.433      -346.433      -346.433      
601           601           +0            -352.074      -352.074      -352.074      
